Date,B1,B2,B3,B4,B5,B6,BB,LC,RH,PD,TMP,TMP2,TMP3
2019-08-27,8,12,23,39,43,6,4,4,90,2889,2019-08-27T22,,
2019-08-23,11,15,37,54,68,21,3,4,71,2894,2019-08-23T22,,
2019-08-20,8,14,25,51,63,4,3,3,74,2903,2019-08-20T22,,
2019-08-16,4,14,24,26,46,14,2,3,51,2890,2019-08-16T22,,
2019-08-13,7,27,31,34,51,5,4,2,70,2884,2019-08-13T22,,
2019-08-09,15,53,56,59,63,1,5,2,61,2887,2019-08-09T22,,
2019-08-06,11,17,31,43,55,16,2,1,62,2885,2019-08-06T22,,
2019-08-02,11,20,26,48,70,19,3,1,79,2895,2019-08-02T22,,
2019-07-30,10,24,28,33,38,6,4,4,79,2898,2019-07-30T22,,
2019-07-26,4,6,11,43,48,11,4,4,58,2915,2019-07-26T22,,
2019-07-23,1,4,23,40,45,11,5,3,74,2889,2019-07-23T22,,
2019-07-19,16,18,28,33,67,14,3,3,91,2901,2019-07-19T22,,
2019-07-16,8,16,31,48,52,23,3,3,65,2904,2019-07-16T22,,
2019-07-12,8,25,38,56,59,7,3,2,77,2891,2019-07-12T22,,
2019-07-09,12,26,40,48,64,1,4,2,72,2894,2019-07-09T22,,
2019-07-05,6,38,47,57,63,12,3,1,88,2904,2019-07-05T22,,
2019-07-02,3,25,37,40,55,13,5,1,65,2890,2019-07-02T22,,
2019-06-28,2,35,49,53,63,1,5,4,60,2909,2019-06-28T22,,
2019-06-25,24,33,45,47,61,17,3,4,74,2903,2019-06-25T22,,
2019-06-21,13,30,36,48,62,18,2,3,74,2895,2019-06-21T22,,
2019-06-18,12,14,22,24,48,21,2,3,91,2885,2019-06-18T22,,
2019-06-14,19,40,47,57,65,6,2,2,53,2907,2019-06-14T22,,
2019-06-11,20,34,39,43,57,13,3,2,87,2892,2019-06-11T22,,
2019-06-07,17,19,27,40,68,2,3,1,91,2872,2019-06-07T22,,
2019-06-04,25,37,46,48,68,25,3,1,58,2897,2019-06-04T22,,
2019-05-31,7,8,26,65,67,4,4,4,50,2884,2019-05-31T22,,
2019-05-28,9,21,34,42,50,21,3,4,52,2887,2019-05-28T22,,
2019-05-24,14,41,44,56,62,10,4,3,56,2903,2019-05-24T22,,
2019-05-21,10,50,55,56,58,15,3,3,60,2889,2019-05-21T22,,
2019-05-17,5,17,28,32,63,11,5,2,68,2892,2019-05-17T22,,
2019-05-14,11,59,66,67,68,18,3,2,58,2892,2019-05-14T22,,
2019-05-10,3,16,21,61,62,19,4,1,69,2893,2019-05-10T22,,
2019-05-07,3,6,34,54,63,19,2,1,71,2902,2019-05-07T22,,
2019-05-03,8,16,22,66,68,11,2,4,71,2887,2019-05-03T22,,
2019-04-30,24,37,41,61,70,20,2,4,57,2910,2019-04-30T22,,
2019-04-26,9,17,23,30,46,10,5,4,46,2889,2019-04-26T22,,
2019-04-23,7,24,30,48,67,9,4,3,51,2896,2019-04-23T22,,
2019-04-19,18,25,43,44,57,25,4,3,80,2857,2019-04-19T22,,
2019-04-16,11,29,34,48,54,10,3,2,52,2908,2019-04-16T22,,
2019-04-12,1,24,25,40,70,4,5,2,71,2893,2019-04-12T22,,
2019-04-09,11,22,34,44,58,9,4,1,84,2869,2019-04-09T22,,
2019-04-05,8,22,24,38,64,21,4,1,78,2901,2019-04-05T22,,
2019-04-02,33,47,58,59,64,25,3,4,53,2910,2019-04-02T22,,
2019-03-29,5,14,15,62,66,3,5,4,60,2902,2019-03-29T22,,
2019-03-26,4,14,22,43,58,9,5,3,80,2913,2019-03-26T22,,
2019-03-22,7,36,58,60,62,10,3,3,42,2899,2019-03-22T22,,
2019-03-19,10,42,53,67,68,15,5,2,42,2918,2019-03-19T22,,
2019-03-15,3,29,56,62,64,4,5,2,55,2907,2019-03-15T22,,
2019-03-12,10,12,16,49,57,18,5,1,48,2914,2019-03-12T22,,
2019-03-08,4,9,42,62,68,7,5,1,47,2897,2019-03-08T22,,
2019-03-05,15,20,32,37,52,6,5,4,45,2915,2019-03-05T22,,
2019-03-01,29,33,39,60,66,21,4,4,78,2895,2019-03-01T22,,
2019-02-26,10,12,14,24,60,20,5,4,60,2914,2019-02-26T22,,
2019-02-22,18,24,31,34,55,4,3,3,92,2913,2019-02-22T22,,
2019-02-19,17,24,34,56,65,3,2,3,89,2918,2019-02-19T22,,
2019-02-15,10,38,40,43,65,12,2,2,93,2871,2019-02-15T22,,
2019-02-12,15,32,39,50,65,7,4,2,66,2893,2019-02-12T22,,
2019-02-08,14,24,31,42,48,13,2,1,40,2934,2019-02-08T22,,
2019-02-05,3,34,36,59,66,7,2,1,90,2901,2019-02-05T22,,
2019-02-01,2,37,48,66,68,11,3,4,50,2918,2019-02-01T22,,
2019-01-29,10,33,53,54,62,22,3,4,45,2902,2019-01-29T22,,
2019-01-25,8,16,30,38,61,10,3,3,52,2916,2019-01-25T22,,
2019-01-22,4,15,37,59,64,16,2,3,47,2928,2019-01-22T22,,
2019-01-18,2,43,48,62,64,24,2,2,89,2896,2019-01-18T22,,
2019-01-15,29,52,58,60,62,7,5,2,82,2915,2019-01-15T22,,
2019-01-11,4,5,31,62,69,20,3,1,49,2918,2019-01-11T22,,
2019-01-08,13,26,29,38,64,5,3,1,72,2897,2019-01-08T22,,
2019-01-04,21,29,35,54,60,15,4,4,73,2873,2019-01-04T22,,
2019-01-01,34,44,57,62,70,14,4,4,84,2906,2019-01-01T22,,
2018-12-28,9,10,25,37,38,21,4,3,93,2901,2018-12-28T22,,
2018-12-25,2,8,42,43,50,6,3,3,59,2921,2018-12-25T22,,
2018-12-21,10,13,61,62,70,5,4,2,83,2876,2018-12-21T22,,
2018-12-18,13,22,32,60,69,9,2,2,54,2900,2018-12-18T22,,
2018-12-14,5,22,26,43,49,23,5,1,92,2880,2018-12-14T22,,
2018-12-11,4,38,39,54,59,12,3,1,64,2915,2018-12-11T22,,
2018-12-07,4,10,20,33,57,13,5,1,86,2926,2018-12-07T22,,
2018-12-04,28,31,41,42,50,4,2,4,67,2905,2018-12-04T22,,
2018-11-30,25,28,40,43,63,19,2,4,63,2894,2018-11-30T22,,
2018-11-27,12,24,37,42,57,18,2,3,59,2892,2018-11-27T22,,
2018-11-23,7,10,30,33,59,23,5,3,89,2896,2018-11-23T22,,
2018-11-20,10,16,31,42,66,10,4,2,71,2911,2018-11-20T22,,
2018-11-16,33,36,63,68,69,16,4,2,82,2906,2018-11-16T22,,
2018-11-13,34,46,57,65,69,11,5,1,90,2909,2018-11-13T22,,
2018-11-09,8,14,27,57,67,5,2,1,77,2904,2018-11-09T22,,
2018-11-06,28,34,37,56,69,12,2,4,87,2897,2018-11-06T22,,
2018-11-02,3,23,28,46,62,16,3,4,86,2889,2018-11-02T22,,
2018-10-30,20,31,39,46,49,23,5,3,65,2908,2018-10-30T22,,
2018-10-26,1,28,61,62,63,5,4,3,93,2868,2018-10-26T22,,
2018-10-23,5,28,62,65,70,5,5,2,72,2907,2018-10-23T22,,
2018-10-19,15,23,53,65,70,7,3,2,84,2904,2018-10-19T22,,
2018-10-16,3,45,49,61,69,9,2,2,84,2907,2018-10-16T22,,
2018-10-12,4,24,46,61,70,7,4,1,72,2882,2018-10-12T22,,
2018-10-09,20,22,39,54,60,18,2,1,87,2888,2018-10-09T22,,
2018-10-05,27,28,32,41,69,12,2,4,69,2900,2018-10-05T22,,
2018-10-02,2,22,29,31,34,1,4,4,64,2909,2018-10-02T22,,
2018-09-28,39,45,52,56,59,15,3,3,87,2907,2018-09-28T22,,
2018-09-25,8,16,32,48,61,12,4,2,88,2906,2018-09-25T22,,
2018-09-21,1,2,11,52,64,9,3,2,60,2904,2018-09-21T22,,
2018-09-18,31,32,43,63,68,17,5,2,67,2887,2018-09-18T22,,
2018-09-14,23,30,40,43,66,13,4,1,67,2885,2018-09-14T22,,
2018-09-11,15,30,51,62,67,19,3,1,85,2899,2018-09-11T22,,
2018-09-07,8,10,41,54,68,10,5,4,77,2896,2018-09-07T22,,
2018-09-04,2,7,25,35,44,3,2,4,74,2910,2018-09-04T22,,
2018-08-31,7,18,29,32,45,17,3,3,69,2907,2018-08-31T22,,
2018-08-28,3,20,33,34,41,20,4,3,79,2906,2018-08-28T22,,
2018-08-24,1,6,13,18,49,8,2,2,55,2908,2018-08-24T22,,
2018-08-21,14,16,19,38,57,11,4,2,77,2894,2018-08-21T22,,
2018-08-17,1,31,32,47,56,3,2,1,85,2904,2018-08-17T22,,
2018-08-14,11,26,44,45,46,11,3,1,67,2899,2018-08-14T22,,
2018-08-10,1,3,12,22,42,6,5,4,91,2889,2018-08-10T22,,
2018-08-07,2,13,15,21,62,2,5,4,79,2900,2018-08-07T22,,
2018-08-03,9,28,30,54,60,2,4,3,79,2905,2018-08-03T22,,
2018-07-31,12,15,35,64,69,9,2,3,90,2896,2018-07-31T22,,
2018-07-27,1,32,40,49,63,20,5,3,69,2897,2018-07-27T22,,
2018-07-24,1,2,4,19,29,20,2,2,77,2887,2018-07-24T22,,
2018-07-20,1,14,30,44,62,1,2,2,79,2888,2018-07-20T22,,
2018-07-17,40,41,61,66,67,12,3,1,85,2890,2018-07-17T22,,
2018-07-13,21,22,39,59,68,2,3,1,82,2904,2018-07-13T22,,
2018-07-10,1,17,28,56,70,14,4,4,67,2896,2018-07-10T22,,
2018-07-06,2,10,46,50,56,16,3,4,87,2900,2018-07-06T22,,
2018-07-03,13,35,45,49,68,23,2,3,63,2907,2018-07-03T22,,
2018-06-29,2,32,47,49,68,23,4,3,74,2896,2018-06-29T22,,
2018-06-26,17,25,29,39,60,19,5,2,77,2903,2018-06-26T22,,
2018-06-22,2,6,11,27,44,20,3,2,91,2878,2018-06-22T22,,
2018-06-19,11,13,28,65,70,14,2,1,67,2889,2018-06-19T22,,
2018-06-15,1,11,37,47,51,6,4,1,79,2894,2018-06-15T22,,
2018-06-12,1,3,5,8,70,3,3,1,79,2901,2018-06-12T22,,
2018-06-08,14,30,33,44,56,13,3,1,69,2906,2018-06-08T22,,
2018-06-05,22,33,41,48,52,4,5,3,68,2880,2018-06-05T22,,
2018-06-01,5,24,52,62,66,17,4,3,90,2888,2018-06-01T22,,
2018-05-29,2,11,55,58,67,2,3,3,84,2879,2018-05-29T22,,
2018-05-25,11,14,51,64,68,25,3,2,91,2890,2018-05-25T22,,
2018-05-22,16,17,21,36,48,9,5,2,93,2900,2018-05-22T22,,
2018-05-18,9,26,53,64,66,11,5,1,97,2889,2018-05-18T22,,
2018-05-15,21,34,44,49,61,21,4,1,100,2885,2018-05-15T22,,
2018-05-11,14,38,40,53,70,22,5,4,67,2903,2018-05-11T22,,
2018-05-08,8,15,39,64,67,13,4,4,68,2902,2018-05-08T22,,
2018-05-04,4,5,10,12,18,21,4,3,66,2900,2018-05-04T22,,
2018-05-01,2,7,20,55,70,1,4,3,66,2915,2018-05-01T22,,
2018-04-27,2,29,38,63,66,11,5,2,65,2882,2018-04-27T22,,
2018-04-24,3,19,31,32,48,10,4,2,84,2882,2018-04-24T22,,
2018-04-20,1,15,18,32,45,4,5,1,46,2918,2018-04-20T22,,
2018-04-17,12,34,44,47,65,22,3,1,54,2887,2018-04-17T22,,
2018-04-13,8,9,32,42,59,10,3,4,61,2896,2018-04-13T22,,
2018-04-10,5,13,31,43,53,20,3,4,59,2901,2018-04-10T22,,
2018-04-06,16,33,51,54,67,20,3,3,60,2877,2018-04-06T22,,
2018-04-03,4,29,39,42,62,14,3,3,63,2882,2018-04-03T22,,
2018-03-30,11,28,31,46,59,1,3,2,59,2915,2018-03-30T22,,
2018-03-27,7,25,43,56,59,13,4,2,86,2916,2018-03-27T22,,
2018-03-23,4,8,23,53,59,17,2,1,51,2909,2018-03-23T22,,
2018-03-20,14,38,51,64,70,9,2,1,77,2864,2018-03-20T22,,
2018-03-16,1,13,26,33,52,11,4,4,75,2894,2018-03-16T22,,
2018-03-13,6,30,58,60,61,17,4,4,53,2893,2018-03-13T22,,
2018-03-09,7,17,18,46,66,22,4,4,46,2894,2018-03-09T22,,
2018-03-06,1,4,26,35,39,22,3,3,63,2872,2018-03-06T22,,
2018-03-02,24,28,42,60,64,8,4,3,42,2912,2018-03-02T22,,
2018-02-27,10,17,21,38,43,23,3,2,60,2915,2018-02-27T22,,
2018-02-23,7,11,13,19,58,9,2,2,73,2915,2018-02-23T22,,
2018-02-20,17,19,23,24,43,14,3,1,81,2924,2018-02-20T22,,
2018-02-16,14,38,48,53,58,16,5,1,90,2905,2018-02-16T22,,
2018-02-13,5,12,15,46,49,1,2,4,80,2944,2018-02-13T22,,
2018-02-09,28,34,41,46,47,14,2,4,100,2915,2018-02-09T22,,
2018-02-06,14,17,25,48,58,25,5,3,67,2914,2018-02-06T22,,
2018-02-02,1,4,14,17,40,4,2,3,45,2929,2018-02-02T22,,
2018-01-30,29,41,42,49,57,24,2,2,54,2924,2018-01-30T22,,
2018-01-26,10,16,27,38,43,1,5,2,43,2939,2018-01-26T22,,
2018-01-23,2,6,30,31,55,7,3,1,65,2906,2018-01-23T22,,
2018-01-19,3,17,23,49,66,23,3,1,39,2915,2018-01-19T22,,
2018-01-16,3,11,23,29,59,18,3,4,92,2926,2018-01-16T22,,
2018-01-12,17,18,33,46,60,24,5,4,78,2884,2018-01-12T22,,
2018-01-09,16,29,31,65,67,23,5,4,93,2913,2018-01-09T22,,
2018-01-05,28,30,39,59,70,10,2,3,43,2924,2018-01-05T22,,
2018-01-02,1,42,47,64,70,22,2,3,37,2924,2018-01-02T22,,
2017-12-29,4,10,18,28,62,7,5,2,67,2910,2017-12-29T22,,
2017-12-26,10,12,20,38,41,25,5,2,53,2924,2017-12-26T22,,
2017-12-22,1,20,30,33,42,16,4,1,96,2902,2017-12-22T22,,
2017-12-19,28,37,39,42,58,2,4,1,100,2900,2017-12-19T22,,
2017-12-15,4,12,36,44,57,19,2,4,76,2910,2017-12-15T22,,
2017-12-12,8,23,24,25,27,9,4,4,48,2888,2017-12-12T22,,
2017-12-08,6,37,46,60,70,24,4,3,100,2885,2017-12-08T22,,
2017-12-05,14,15,37,42,67,22,2,3,100,2900,2017-12-05T22,,
2017-12-01,16,22,40,41,59,8,3,2,93,2906,2017-12-01T22,,
2017-11-28,10,17,47,51,61,5,2,2,64,2919,2017-11-28T22,,
2017-11-24,16,36,54,61,64,22,2,1,80,2889,2017-11-24T22,,
2017-11-21,3,7,22,27,50,3,2,4,93,2892,2017-11-21T22,,
2017-11-17,3,26,55,58,70,15,4,4,72,2899,2017-11-17T22,,
2017-11-14,1,14,21,22,28,19,3,4,83,2910,2017-11-14T22,,
2017-11-10,6,23,38,42,58,24,5,4,66,2915,2017-11-10T22,,
2017-11-07,1,54,60,68,69,11,5,3,100,2891,2017-11-07T22,,
2017-11-03,10,22,42,61,69,3,4,3,93,2905,2017-11-03T22,,
2017-10-31,6,28,31,52,53,12,3,2,69,2904,2017-10-31T22,,
2017-10-27,17,27,41,51,52,13,3,2,58,2888,2017-10-27T22,,
2017-10-24,20,24,34,56,64,6,2,1,71,2890,2017-10-24T22,,
