Date,B1,B2,B3,B4,B5,B6,BB,LC,RH,PD,TMP,TMP2,TMP3
2022-04-01,26,42,47,48,63,21,2,1,49,2898,2022-04-01T22,,
2022-03-29,7,22,36,45,47,12,3,4,52,2897,2022-03-29T22,,
2022-03-25,3,13,42,51,58,17,4,4,61,2887,2022-03-25T22,,
2022-03-22,8,15,21,27,61,8,2,3,55,2881,2022-03-22T22,,
2022-03-18,2,6,25,40,45,5,3,3,90,2882,2022-03-18T22,,
2022-03-15,9,14,28,59,60,24,4,2,93,2898,2022-03-15T22,,
2022-03-11,24,28,39,44,66,25,5,2,97,2864,2022-03-11T22,,
2022-03-08,7,18,38,58,64,24,2,1,93,2885,2022-03-08T22,,
2022-03-04,11,19,28,46,47,5,4,1,48,2921,2022-03-04T22,,
2022-03-01,18,22,38,39,50,18,2,4,41,2905,2022-03-01T22,,
2022-02-25,15,31,40,56,66,4,5,4,63,2922,2022-02-25T22,,
2022-02-22,6,17,22,57,62,3,4,3,75,2906,2022-02-22T22,,
2022-02-18,6,11,50,63,68,17,5,3,70,2909,2022-02-18T22,,
2022-02-15,2,4,15,21,63,19,4,2,43,2937,2022-02-15T22,,
2022-02-11,11,16,23,24,30,24,2,2,45,2895,2022-02-11T22,,
2022-02-08,1,17,20,52,54,2,5,2,57,2904,2022-02-08T22,,
2022-02-04,7,16,34,44,61,24,4,1,79,2916,2022-02-04T22,,
2022-02-01,11,24,38,62,66,1,2,1,52,2915,2022-02-01T22,,
2022-01-28,3,16,25,44,55,13,4,4,64,2894,2022-01-28T22,,
2022-01-25,3,12,38,53,58,13,2,4,68,2899,2022-01-25T22,,
2022-01-21,38,45,46,55,67,18,2,3,89,2921,2022-01-21T22,,
2022-01-18,4,19,39,42,52,9,3,3,62,2910,2022-01-18T22,,
2022-01-14,5,8,13,22,48,25,2,2,63,2888,2022-01-14T22,,
2022-01-11,2,3,19,52,58,16,3,2,45,2933,2022-01-11T22,,
2022-01-07,7,29,43,56,57,6,5,1,52,2921,2022-01-07T22,,
2022-01-04,4,6,16,21,22,1,5,1,60,2907,2022-01-04T22,,
2021-12-31,2,5,30,46,61,8,3,4,87,2887,2021-12-31T22,,
2021-12-28,3,5,8,31,38,4,3,4,81,2882,2021-12-28T22,,
2021-12-24,16,17,25,36,37,16,2,3,69,2896,2021-12-24T22,,
2021-12-21,25,31,58,64,67,24,5,3,89,2879,2021-12-21T22,,
2021-12-17,21,32,38,48,62,10,3,2,93,2909,2021-12-17T22,,
2021-12-14,33,35,44,55,69,20,5,2,61,2932,2021-12-14T22,,
2021-12-10,23,25,40,42,60,8,5,1,97,2895,2021-12-10T22,,
2021-12-07,1,7,40,43,68,1,2,1,71,2895,2021-12-07T22,,
2021-12-03,22,45,48,58,61,13,3,4,70,2899,2021-12-03T22,,
2021-11-30,7,8,26,30,39,17,2,4,61,2908,2021-11-30T22,,
2021-11-26,7,27,37,42,59,2,2,3,53,2900,2021-11-26T22,,
2021-11-23,7,24,54,57,58,6,3,3,47,2916,2021-11-23T22,,
