Date,B1,B2,B3,B4,B5,B6,BB
7/3/2020,20,40,44,45,50,24,4
6/30/2020,9,16,29,37,53,11,3
6/26/2020,19,33,37,56,57,6,5
6/23/2020,6,20,37,40,48,15,4
6/19/2020,11,34,36,52,66,7,2
6/16/2020,21,23,33,35,42,6,2
6/12/2020,9,14,57,67,70,2,5
6/9/2020,1,5,9,10,23,22,4
6/5/2020,32,35,37,47,55,22,2
6/2/2020,9,20,23,26,29,8,3
5/29/2020,10,13,32,41,51,3,4
5/26/2020,34,52,58,59,62,4,3
5/22/2020,8,10,20,44,46,18,5
5/19/2020,8,19,25,36,66,9,4
5/15/2020,11,17,32,33,46,25,3
5/12/2020,7,16,27,44,52,5,4
5/8/2020,5,20,22,61,70,4,5
5/5/2020,7,13,17,21,45,14,4
5/1/2020,28,30,31,35,66,14,3
4/28/2020,13,19,53,54,63,17,5
4/24/2020,1,27,32,60,67,18,3
4/21/2020,13,15,24,67,70,17,3
4/17/2020,13,35,39,46,55,14,2
4/14/2020,29,47,65,69,70,7,3
4/10/2020,2,11,21,57,60,13,3
4/7/2020,25,33,43,51,68,20,5
4/3/2020,24,38,44,57,58,17,5
3/31/2020,8,17,51,57,70,2,5
3/27/2020,3,25,28,50,60,1,5
3/24/2020,2,8,16,18,31,14,4
3/20/2020,34,35,41,45,54,5,5
3/17/2020,20,27,28,58,59,25,3
3/13/2020,7,22,37,43,44,22,4
3/10/2020,6,17,48,54,69,12,4
3/6/2020,15,48,56,58,70,4,3
3/3/2020,8,12,33,56,64,2,5
2/28/2020,2,3,14,41,64,17,4
2/25/2020,2,9,43,49,63,15,3
2/21/2020,4,7,13,16,60,6,2
2/18/2020,6,12,39,61,70,4,3
2/14/2020,10,32,48,54,55,18,2
2/11/2020,4,6,32,52,64,6,4
2/7/2020,9,14,27,36,52,4,4
2/4/2020,32,48,50,51,64,10,2
1/31/2020,28,31,33,57,62,19,5
1/28/2020,17,36,47,51,62,21,2
1/24/2020,3,4,18,23,38,24,2
1/21/2020,16,18,29,31,37,8,5
1/17/2020,3,25,30,54,70,9,3
1/14/2020,9,11,13,31,47,11,2
1/10/2020,17,27,49,51,66,2,3
1/7/2020,25,40,41,52,56,21,4
1/3/2020,37,41,42,53,63,16,4
12/31/2019,30,44,49,53,56,11,4
12/27/2019,17,34,40,63,64,24,5
12/24/2019,27,37,48,63,66,11,5
12/20/2019,3,20,23,35,60,16,5
12/17/2019,22,30,53,55,56,16,3
12/13/2019,17,21,29,39,56,22,5
12/10/2019,18,31,46,54,61,25,4
12/6/2019,20,31,40,46,61,20,3
12/3/2019,23,43,60,63,69,19,3
11/29/2019,6,8,31,50,65,9,3
11/26/2019,8,27,29,38,43,13,4
11/22/2019,7,12,17,49,53,24,2
11/19/2019,22,43,44,47,66,22,4
11/15/2019,12,19,34,35,68,20,4
